question,answer,context
What is the purpose of introducing the Split-C scenario in data labelling?,The purpose of introducing the Split-C scenario is to improve the model's robustness in real-world situations where labelled data availability is inconsistent by exposing it to diverse and unpredictable distributions.,"infrequent categories within a single task, focusing on semantic continuity and transfer. Split-C: Random Scenarios.In some cases, data labelling is driven by the availability of objects rather than predefined criteria. To capture this, we introduce theSplit-Cscenario, which represents a fully random setting where any class can appear in any task, resulting in varying levels of class imbalance. By exposing the model to such diverse and unpredictable distributions, we aim to improve its robustness in real-world situations where labelled data availability is inconsistent. These incremental scenarios are designed to provide a more realistic representation of"
What are the two strategies introduced to better preserve past representations and enhance generalization across phases in the context of limited exemplar budgets?,PLG and CBR.,"phaset, and|E t |denotes the exemplar replay size. The combined replay dataset is denoted as:D t ER =D t ∪E 1:t−1.Epoch training consists of two stages: first, the model is trained on the current data,D t ; then it is trained using exemplars fromE 1:t−1. While previous CI-3DIS approaches rely on large exemplar sets to mitigate forgetting [4], such strategies become impractical under memory constraints. Consequently, although ER aids knowledge retention, it is insufficient on its own for robust performance with a limited exemplar budget. Therefore, PLG and CBR are introduced to better preserve past representations and enhance generalisation across phases."
What is the average boost in performance provided by the IC module in Phase 2?,8.32%,"2andPhase 3, respectively. InPhase 2, we evaluate classes seen 1–20 times per epoch, whilePhase 3targets even less frequent classes, with observations limited to 1–10 times per epoch. As illustrated in Tab. 5, the IC module substantially improves performance on rare classes in terms of mAP 50 in Phase 2 ofSplit-A. For instance, classes likerecycling binandtrash bin, seen only 3 and 7 times, respectively, shows significant improvement when the IC module is applied. Overall, the IC module provides an average boost of 8.32%, highlighting its effectiveness in mitigating class imbalance. Similarly, Tab. 6 presents results forPhase 3, demonstrating significant gains for infre-"
What item is mentioned as being located on the bathroom counter?,Toilet paper.,blanket speaker bathroom counter wall toilet papermonitor kitchen cabinet plant lamp microwave cup plunger mattress ballarmchair counter bag dresser shoe paper towel roll bin stand monitorcoffee table ceiling backpack monitor computer tower bar armchair copier bathroom cabinetrefrigerator whiteboard toilet paperobject bottle toaster trash bin ironing board shoetv shower curtain blanket ceiling bin ironing board dishwasher radiator blackboardnightstand closet shoe board ottoman soap dish lamp keyboard ventdresser computer tower bottle stove bench toilet paper dispenserprojector toaster oven bagstool board basket closet wall basket fire extinguisherpotted plant paper bag paperbathtub mirror
What is the purpose of the Class-Balanced Re-weighting (CBR) in the pseudo-label generation process?,The purpose of Class-Balanced Re-weighting (CBR) is to weight the pseudo-labels based on class frequency f(c) to ensure a balanced pseudo-label set.,"which maintains a small memory of past examples. These are then passed to the current modelΦ t to produce predicted labelsY t . The Pseudo-Label Generator (PLG) selects the top-K predictions from the previous modelΦ t−1 . These pseudo-labels are then weighted based on class frequencyf(c)using Class-Balanced Re-weighting (CBR), and the top-K re-weighted labels are selected to form the balanced pseudo-label set ¯Yt . This pseudo-label set is then concatenated with the ground-truth labels to form a final augmented supervision set Yt for taskt, which is used to optimise the modelΦ t using Eq. (3)."
What is the primary focus of the research presented in the paper by Thengane et al.?,The primary focus of the research is on Class-Incremental Imbalanced 3D Instance Segmentation.,"arXiv:2502.17429v3  [cs.CV]  21 Nov 2025 THENGANE ET AL.: CLIMB-3D1 CLIMB-3D: Class-Incremental Imbalanced 3D Instance Segmentation Vishal Thengane1 v.thengane@surrey.ac.uk Jean Lahoud2 jean.lahoud@mbzuai.ac.ae Hisham Cholakkal2 hisham.cholakkal@mbzuai.ac.ae Rao Muhammad Anwer2 rao.anwer@mbzuai.ac.ae Lu Yin1 l.yin@surrey.ac.uk Xiatian Zhu1 xiatian.zhu@surrey.ac.uk Salman Khan2, 3 salman.khan@mbzuai.ac.ae 1 University of Surrey, Guildford, UK 2 Mohamed bin Zayed University of Artificial Intelligence, Abu Dhabi, UAE 3 Australian National University, Canberra, Australia Abstract While 3D instance segmentation (3DIS) has advanced significantly, most existing"
What is the main focus of the paper by Julian Chibane et al. as indicated in the context?,The main focus of the paper by Julian Chibane et al. is weakly supervised 3D semantic instance segmentation using bounding boxes.,"[12] Julian Chibane, Francis Engelmann, Tuan Anh Tran, and Gerard Pons-Moll. Box2mask: Weakly supervised 3d semantic instance segmentation using bounding boxes. InECCV, pages 681–699. Springer, 2022."
What item is mentioned as being located on the bathroom counter?,coffee kettle,calendarrecycling bin stuffed animal columnmailbox ceiling light radiator structure poster shower water cooler fire alarmmusic stand dumbbell shelf storage organizer luggagejacket coffee kettle storage containerbathroom counter tube potted plant bottle kitchen counterbathroom vanity cd case mattresslaundry hamper coffee kettletrash bin shower headkeyboard piano case of water bottlesfolded chair fire alarmluggage power stripmattress calendar posterpotted plant
"What is the title of the paper authored by Seulki Park and others, published in CVPR in 2022?",The majority can help the minority: Context-rich minority oversampling for long-tailed classification.,"2019. [50] Dhruv Mahajan, Ross Girshick, Vignesh Ramanathan, Kaiming He, Manohar Paluri, Yixuan Li, Ashwin Bharambe, and Laurens Van Der Maaten. Exploring the limits of weakly supervised pretraining. InECCV, pages 181–196, 2018. [51] Michael McCloskey and Neal J Cohen. Catastrophic interference in connectionist networks: The sequential learning problem. InPsychology of learning and motivation, volume 24, pages 109–165. Elsevier, 1989. [52] Seulki Park, Youngkyu Hong, Byeongho Heo, Sangdoo Yun, and Jin Young Choi. The majority can help the minority: Context-rich minority oversampling for long-tailed classification. InCVPR, pages 6887–6896, 2022."
What is the price of the copier?,94.00,copier 5 94.00 96.80
"What is the primary focus of the paper authored by Yun-Hsuan Sung, Zhen Li, and Tom Duerig?",The primary focus of the paper is on scaling up visual and vision-language representation learning with noisy text supervision.,"Yun-Hsuan Sung, Zhen Li, and Tom Duerig. Scaling up visual and vision-language representation learning with noisy text supervision. InICML, pages 4904–4916. PMLR, 2021."
How does the proposed method perform in terms of retaining knowledge of previous tasks compared to the baseline in Split-A?,The proposed method shows improvement throughout the phase in Split-A and consistently retains knowledge of previous tasks better than the baseline.,"object categories; marks the background.Left:Grouped by category frequency.Middle: Grouped by semantic similarity (e.g., similar shapes).Right:Randomly grouped, mixing semantic and frequency variations. Appendix B Per Phase Analysis We extend the analysis from Tab. 1 to Tab. 4 to highlight the impact of our proposed method on individual splits across various scenarios. The results clearly demonstrate that our model consistently retains knowledge of previous tasks better than the baseline. For Split-A, our model shows improvement throughout the phase. In Phase 3 of (s2), although both the baseline and our method exhibit a performance drop, our method reduces forgetting significantly."
What evaluation method is used to compare the proposed framework with the baseline method in the study?,The Split-B evaluation method is used.,"THENGANE ET AL.: CLIMB-3D7 Ground Truth Baseline Ours Figure 5: Qualitative comparison of ground truth, the baseline method, and our proposed framework on the Split-B evaluation after learning all tasks."
What is one common strategy used in incremental learning to mitigate catastrophic forgetting?,"Model regularisation, which constrains parameter updates using techniques such as elastic weight consolidation or knowledge distillation.","duce annotation costs by proposing weakly supervised 3DIS methods based on sparse cues [12, 27, 72]. While effective with limited annotations, these methods assume a fixed set of classes and are susceptible to catastrophic forgetting in incremental settings. Incremental Learning.Continual learning involves training models sequentially to mitigate catastrophic forgetting. One common strategy is model regularisation, which constrains parameter updates using techniques such as elastic weight consolidation or knowledge distillation [1, 24, 35, 43, 60]. Another approach is exemplar replay, where past data is stored."
